common_name,scientific_name
Australian Magpie,Gymnorhina tibicen
Australian Raven,Corvus coronoides
Superb Fairywren,Malurus cyaneus
Magpie-lark,Grallina cyanoleuca
Galah,Eolophus roseicapilla
Red Wattlebird,Anthochaera carunculata
Willie-wagtail,Rhipidura leucophrys
Pied Currawong,Strepera graculina
Welcome Swallow,Hirundo neoxena
Sulphur-crested Cockatoo,Cacatua galerita
Laughing Kookaburra,Dacelo novaeguineae
Crimson Rosella,Platycercus elegans
Grey Fantail,Rhipidura albiscapa
Yellow-faced Honeyeater,Caligavis chrysops
White-throated Treecreeper,Cormobates leucophaea
Maned Duck,Chenonetta jubata
Eastern Rosella,Platycercus eximius
Crested Pigeon,Ocyphaps lophotes
Common Starling,Sturnus vulgaris
Pacific Black Duck,Anas superciliosa
Masked Lapwing,Vanellus miles